YEAR,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust,condition,updated
2001,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2002,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2003,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2004,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2005,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2006,0,1,0,0,0,0,0,0,1,058,"16 June, 2020"
2007,0,0,0,0,0,0,1,0,1,058,"16 June, 2020"
2008,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2009,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2010,0,1,0,0,0,0,0,0,1,058,"16 June, 2020"
2011,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2012,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2013,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2014,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2015,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2016,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2017,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2018,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2019,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2020,0,0,0,0,0,0,0,0,0,058,"16 June, 2020"
2001,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2002,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2003,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2004,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2005,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2006,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2007,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2008,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2009,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2010,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2011,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2012,0,0,0,0,0,0,0,0,0,063,"16 June, 2020"
2013,0,0,0,1,0,0,0,0,1,063,"16 June, 2020"
